,Real summarize,Category
10,"A CBI quarterly survey found output had risen by the fastest rate in seven years but many firms were seeing the benefits offset by increasing expenses.When firms were questioned on output volume, the survey returned a balance of plus 8 - the highest rate of increase for seven years - and rose to plus 11 when looking ahead to the next three months.The CBI found some firms managed to increase prices for the first time in nine years - but many said increases failed to keep up the rise in costs.The CBI said companies are looking to the government to lessen the regulatory load and are hoping interest rates will be kept on hold.The CBI also found spending on innovation, training and retraining is forecast to go up over the next year.",business
11,"There are now 27 countries seeking membership of the WTO.The World Trade Organisation (WTO) is to hold membership talks with both Iraq and Afghanistan.But several nations criticised the approach, and European Union ambassador to the WTO, Carlo Trojan, said Iran's application ""must be treated independently of political issues"".Before the process gets under way, all 148 WTO members must give their backing to applicant countries.Membership of the Geneva-based WTO helps guarantee a country's goods receives equal treatment in the markets of other member states - a policy which has seen it become closely associated with globalisation.But Iran's bid to join the trade body has been refused after the US blocked its application for the 21st time.",business
12,"Fiat is to stop making six-cylinder petrol engines for its sporty Alfa Romeo subsidiary, unions at the Italian carmaker have said.The unions claim Fiat is to close the Fiat Powertrain plant at Arese near Milan and instead source six-cylinder engines from General Motors.Fiat has yet to comment on the matter, but the unions say the new engines will be made by GM in Australia.""Powertrain told us today that Alfa Romeo engines will no longer be made in Arese,"" said union leader Vincenzo Lilliu, as reported by the Reuters news agency.""The assembly line will be dismantled and the six-cylinder Alfa Romeo motor will be replaced with an engine GM produces in Australia.""",business
13,"The prime minister's office said the alleged fraud was uncovered during an investigation into the payroll at the ministry.The prime minister's office said auditors had found ""irregularities in the career structure of certain civil servants"".Prime Minister Ephraim Inoni, who vowed to tackle corruption when he came to office last year, said those found guilty would face tough punishments.Fidelis Nanga, a journalist based in the Cameroon capital Yaounde, said the government was considering taking criminal action against those found guilty and forcing them to repay any money owed.In a report compiled by anti-corruption body Transparency International in 2003, graft was said to be ""pervasive"" in Cameroon.""The prime minister has given instructions for exemplary penalties to be meted out against the accused and their accomplices if found guilty,"" he told the BBC's Network Africa programme.",business
14,"Instead, GM swapped a 6% stake in itself for 20% of Fiat - and gave Fiat a ""put option"" to sell GM the rest of the car maker between January 2004 and July 2009.Fiat had sold GM a stake in 2000, as part of a partnership agreement.""We needed scale in Europe to get costs down, and we were able to do that in working with Fiat,"" said GM chief executive Rick Wagoner.General Motors of the US is to pay Fiat 1.55bn euros ($2bn; ???œ1.1bn) to get out of a deal which could have forced it to buy the Italian car maker outright.Analysts said Fiat seemed to have done well out of the deal, although some predictions had expected a 2bn euro pay-off.Fiat is to get 1bn euros immediately, with another 550m to follow within 90 days.But despite the alliance Fiat failed to put itself back on track, continuing to lose money and market share.",business
15,"Trade and Industry Secretary Patricia Hewitt said people would not be forced to work longer than they wanted, saying the default age was not a statutory, compulsory retirement age.But Age Concern said imposing a retirement age of 65 was ""cowardly"" and a ""complete u-turn"".Under new European age discrimination rules, a default retirement age of 65 will be introduced.The decision will have no impact on the age at which workers can collect their state pension, the government has said.""This makes a mockery of the Government's so-called commitment to outlawing ageism, leaving the incoming age discrimination law to unravel,"" said Gordon Lishman, director general of Age Concern England .Under age discrimination proposals from the Department of Trade and Industry last year workers were to be allowed to work on till 70 if they wished.",business
16,"Deutsche Boerse investors unhappy with its London Stock Exchange bid will have no chance to throw out the exchange's management until May, Reuters says.But Deutsche Boerse told news agency Reuters such a move would have to wait until May's annual general meeting.However, Deutsche Boerse told Reuters: ""TCI's request for the removal of the supervisory board will be considered at the annual general meeting on May 25.""The group owns more than 5% of Deutsche - more than enough to demand an extraordinary general meeting to call on shareholders to oust the German exchange's management.Under German law Deutsche does not need investor backing to make a takeover bid.The Sunday Times reported that hedge funds TCI and Atticus were planning to demand the removal of the group's chairman and chief executive.",business
17,"Kraft plans to cut back on advertising of products like Oreo cookies and sugary Kool-Aid drinks as part of an effort to promote healthy eating.It means commercials for some of its most famous snacks and cereals shown during early morning cartoon shows on TV will now be replaced by food and drink qualifying for Kraft's new ""Sensible Solution"" label.The largest US food maker will also add a label to its more nutritional and low-fat brands to promote the benefits.Kraft's new advertising policy, which covers advertising on TV, radio and in print publications, is aimed at children between the ages of six and 11.",business
18,"Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.Rank now aims to concentrate on its gaming, bars and hotels business, including extending its Hard Rock brand to its casinos - trials of which have been a success.Since Mike Smith's appointment as chief executive in 1999, the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses, including the Odeon cinema chain and the Pinewood studios.The move left the group with three core divisions: gaming, Hard Rock and Deluxe Films, which provides technical services to Hollywood studios.Speculation of a possible shake-up has mounted since Rank announced a study into a possible demerger in September.Analysts predict the firm is likely to report a slight drop in annual pre-tax profits to ???œ170m from ???œ194m last year.",business
19,"Shanda said that it may boost its stake in Sina, even buying it outright.Sina said that the purchase of a stake by Shanda would have no impact on its business.The move may be a precursor to a full takeover, with analysts saying that a better-known international firm may also now show an interest in Sina.Chinese online game operator Shanda Interactive Entertainment has bought a 20% stake in Sina, the country's biggest internet portal firm.""Even though Shanda has 20% of Sina, they still have quite a long way to take full control.""And there may be more gains amid bid speculation when trading resumes in New York on Tuesday after Monday's public holiday, analysts forecast.",business
20,"""Without the reduction in wage and benefit costs and a reasonable prospect of future profitability, we believe that our ability to raise additional money through financings would be uncertain,"" Continental said in its filing to the US Securities and Exchange Commission (SEC).In a filing to US regulators the airline warned of ""inadequate liquidity"" if it fails to reduce wage costs by $500m by the end of February.Two weeks' ago the group also announced it would be able to shave a further $48m a year from its costs with changes to wage and benefits for most of its US-based management and clerical staff.Shares in Continental Airlines have tumbled after the firm warned it could run out of cash.Continental also said that, if it did not make any cuts, it expects to lose ""hundreds of millions of dollars"" in 2005 in current market conditions.",business
21,"Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.Mittal Steel has operations in 14 countries.Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually.A Mittal Steel spokeman said that no decisions on job cuts have been made yet.Mittal Steel was formed last year when Mr Mittal's LNM Holdings merged with Dutch firm Ispat.However, Lakshmi Mittal has told investors the combined company will have to shed thousands of jobs.",business
22,"During cross examination, he asked Mr Myers if he ever knew Mr Ebbers ""make an accounting decision?"".""Not that I am aware of,"" Mr Myers replied.""Did you ever know Mr Ebbers to make an accounting entry into Worldcom books?""Mr Myers has admitted that he ordered false accounting entries at the request of former Worldcom chief financial officer Scott Sullivan.David Myers made the comments under questioning by defence lawyers who have been arguing that Mr Ebbers was not responsible for Worldcom's problems.Defence lawyers have been trying to paint Mr Sullivan, who has admitted fraud and will testify later in the trial, as the mastermind behind Worldcom's accounting house of cards.Mr Myers has already pleaded guilty to fraud and is assisting prosecutors.Former Worldcom boss Bernie Ebbers, who is accused of overseeing an $11bn (???œ5.8bn) fraud, never made accounting decisions, a witness has told jurors.",business
23,"""[The unemployment figures] show the main problem of the French economy: we have growth but without an improvement in employment,"" said Marc Touati, an economist at Natexis Banques Populaires.""[Oil prices] will weigh on consumer spending in the short term, and potentially on confidence,"" he said.At the same time, finance minister Nicolas Sarkozy warned that high oil prices posed a threat to French growth.The French statistics agency, INSEE, expects the economy to grow by about 2.4% this year, buoyed by strong consumer spending and business investment.Analysts said French companies, keen to protect their profit margins at a time of rising energy costs, were reluctant to take on extra staff.",business
24,"Last week, the LSE rejected a takeover proposal from German rival Deutsche Boerse - the 530 pence-a-share offer valued the exchange at about ???œ1.35bn.Euronext already has a presence in London due to its 2001 acquisition of London-based options and futures exchange Liffe.Last week the LSE said not only was the bid undervalued, but that it had ""been advised that there can be no assurance that any transaction could be successfully implemented"".Trades on the LSE are cleared via Clearnet, in which Euronext has a quarter stake.Pan-European group Euronext is poised to launch a bid for the London Stock Exchange, UK media reports say.Euronext, which also operates an exchange in Lisbon, last week appointed UBS and ABN Amro as additional advisors.While Mr Seifert has suggested a merged company would be run out of London, the mayor of Frankfurt has raised concerns that such a move could cost German jobs.",business
25,"ABN Amro, the Netherlands' largest bank, is to cut 2,850 jobs as a result of falling profits.ABN Amro is the third large European bank to announce cutbacks in the past month following Deutsche Bank and Credit Suisse Group.Deutsche Bank said earlier this month it would reduce its German workforce by 1,920 while as many as 300 jobs will be lost at Credit Suisse First Boston.The bank said it was on course for a 10% rise in net income this year but operating profits are set to fall because of a fall in US revenues.ABN Amro currently has more than 100,000 staff.ABN Amro's operations in the Netherlands and the United Kingdom will be hardest hit.",business
26,"Wimpey said the UK housing market had proved ""challenging"" last year.But B&B - which has a 22% share of the UK buy-to-let mortgage market - said that while rates of growth were moderating, the sector ""continues to grow at a rate considerably above that of the whole mortgage market"".B&B said the buy-to-let market - in which the bank is a major player - would continue to grow much faster than the wider mortgage market.Recent housing market surveys have indicated that the UK property market has cooled in recent months after several years of rapid growth.Overall, B&B said that ""housing market fundamentals remain strong"".The UK property market remains robust despite the recent slowdown, according to mortgage lender Bradford & Bingley and housebuilder George Wimpey.Wimpey reported a 19% rise in profits to ???œ450.7m and said recent new home reservations were better than expected.",business
27,"Monsanto also has admitted to paying bribes to a number of other high-ranking officials between 1997 and 2002.A former senior manager at Monsanto directed an Indonesian consulting firm to give a $50,000 bribe to a high-level official in Indonesia's environment ministry in 2002.The US agrochemical giant Monsanto has agreed to pay a $1.5m (???œ799,000) fine for bribing an Indonesian official.Monsanto faced both criminal and civil charges from the Department of Justice and the SEC.Monsanto has agreed to pay $1m to the Department of Justice, adopt internal compliance measures, and co-operate with continuing civil and criminal investigations.Monsanto admitted one of its employees paid the senior official two years ago in a bid to avoid environmental impact studies being conducted on its cotton.",business
28,"With the Pension Benefit Guaranty Corporation (PBGC) some ???œ23bn (???œ12m) in deficit, the Financial Economists Roundtable (FER) wants Congress to act.The company has an estimated $2.9bn hole in its pilots' pension scheme, which the PBGC will now guarantee.The FER says firms should not have been allowed to reduce the insurance premiums they pay into the PBGC fund.""With a little firmer hand on the pensions issues in the US, I think that Congress could avoid having to turn to the taxpayer and instead turn the obligations back onto the companies that deserve to pay them,"" said Professor Dennis Logue, dean of Price College of Business at the University of Oklahoma.Instead of taxpayers having to pick up the bill, the FER wants Congressmen to change the PBGC's funding rules.",business
29,"Deutsche Boerse, the German stock exchange that is trying to buy its London rival, has said it will boost its 2004 dividend payment by 27%.Deutsche Boerse is ""trying to buy them off in a sense"", he said.""Most of the disgruntled shareholders of Deutsche Boerse are complaining that the money that is being used for the bid could be better placed in their hands, paid out in dividends,"" Mr Faraj continued.Frankfurt-based Deutsche Boerse has offered ???œ1.3bn ($2.48bn; 1.88bn euros) for the London Stock Exchange.Deutsche Boerse also said profit in the three months to 31 December was 120.7m euros ($158.8m; ???œ83.3m).",business
30,"Laura Ashley is parting company with its chief executive Ainum Mohd-Saaid.In a statement issued on Thursday, Laura Ashley thanked Ms Mohd-Saaid for her services to the company.Ms Mohd-Saaid is to be replaced by Lillian Tan, presently a non-executive director of the company and head of a Malaysian retailer.""Laura Ashley is a bit of a shrivelled husk of a company,"" said retail analyst Nick Bubb of Evolution Securities.Since 2002, Ms Tan has been managing director and chief executive of Metrojaya, one of the largest retail groups in Malaysia.Laura Ashley was founded by its late namesake in Kent in 1955, before moving to Mid Wales in 1961 where it still has its main UK factory.Laura Ashley, which floated on the London Stock Exchange for ???œ200m ($376m) in 1995, is majority-owned by Malaysia entrepreneur Dr Khoo Kay Peng.",business
31,"Wal-Mart, the largest US retailer, has said its December sales are expected to be better than previously forecast because of strong post-Christmas sales.""The continuing economic expansion, combined with job growth, has consumers ending this year on a high note,"" said Lynn Franco, director of the Conference Board's consumer research centre.The feel-good factor among US consumers rose in December for the first time since July according to new data.Consumers' confidence in the state of the US economy is at its highest for five months and they are optimistic about 2005, an influential survey says.US retailers have reported strong sales over the past 10 days after a slow start to the crucial festive season.",business
32,"A breakdown of the latest production figures shows mining output drove the increase, surging 2.1%, while factory output rose 0.3%.The US Federal Reserve said output from factories, mines and utilities rose 0.3% - in line with forecasts - from a revised 0.6% increase in October.The US economy grew at a respectable annual rate of 3.7% in the three months between July and September, while jobs growth averaged 178,000 during the same period.Many analysts were upbeat about the prospects for the US economy, with the increase in production coming on the heels of news of a recovery in retail sales.US industrial production continued to rise in November, albeit at a slower pace than the previous month.The latest increase means industrial output has grown 4.2% in the past year.",business
33,"On Wednesday, Prime Minister Yulia Tymoshenko said as many as 3,000 firms could be included on the list of firms whose sale was being reviewed.The mill, Krivorizhstal, was sold in June 2004 for $800m (???œ424m) - well below other offers.The controversial sell-off of a Ukrainian steel mill to a relative of the former president was illegal, a court has ruled.Mr Yushchenko had previously said the list would be limited to 30-40 enterprises.Krivorizhstal is one of dozens of firms which he says were sold cheaply to friends of the previous administration.The next step is for the supreme court to annul the sale altogether, opening the way for Krivorizhstal to be resold.",business
34,"Brazil's unemployment rate fell to its lowest level in three years in December, according to the government.IBGE also said that average monthly salaries grew 1.9% in December 2004 from December 2003.The Brazilian Institute for Geography and Statistics (IBGE) said it fell to 9.6% in December from 10.6% in November and 10.9% in December 2003.The jobless rate average for the whole of 2004 was 11.5%, down from 12.3% in 2003, the IBGE said.The unemployment rate has been falling gradually since April 2004 when it reached a peak of 13.1%.However, average monthly wages fell 1.8% in December to 895.4 reais ($332; ???œ179.3) from November.",business
35,"Mr Ghosn transformed Nissan into a fast-growing and profitable business.In his new job as Renault chief executive, Mr Ghosn will devote 40% of his time to Renault, 40% to Nissan and the rest to the group's activities in North America and other key markets.As chief operating officer, Toshiyuki Shiga will run Nissan on a daily basis, although Mr Ghosn, who masterminded its recovery, will remain chief executive.""I need a leadership team capable of accelerating the performance and delivery of results that has characterized Nissan over the past six years,"" Mr Ghosn said.Mr Ghosn said Mr Shiga's appointment would ensure a ""seamless"" transition in management.Mr Ghosn is to become chairman and chief executive of Renault, which owns 44% of the Japanese carmaker, in April.He will inherit a strong legacy from Mr Ghosn, who has overseen a dramatic turnaround in Nissan's fortunes in the past five years.",business
36,"Shares in engineering group Jarvis have soared more than 16% on news that it is offloading its stake in London underground consortium Tube Lines.The sale of the 33% stake to Spain's Ferrovial for ???œ146m ($281m) is a lifeline to Jarvis, which was weighed down by debts of more than ???œ230m.Jarvis said the sale, which raked in more than the ???œ100m analysts had expected, would ""substantially"" enhance its financial position.Shares in Jarvis were up more than 16% to 18 pence by the close of trade on Friday.Jarvis wants to scale back the division, which has proved too costly and has been blamed for many of its problems.",business
37,"But the Commission report says that, in most EU countries, the pace of economic reform has been too slow, and fulfilling the Lisbon ambitions will be difficult - if not impossible.Their economic targets became known as the Lisbon Agenda.In 2000, EU leaders at a summit in Lisbon pledged the European economy would outstrip that of the US by 2010.Most EU countries have failed to put in place policies aimed at making Europe the world's most competitive economy by the end of the decade, a report says.The Lisbon Agenda set out to increase the number of people employed in Europe by encouraging more older people and women to stay in the workforce.",business
38,"Bombardier said restructuring plans drawn up by Mr Tellier's would continue to be implemented.Mr Tellier had indicated he wanted to stay at the world's top train maker and third largest manufacturer of civil aircraft until the restructuring was complete.""I understand the board's concern that I would not be there for the long-term and the need to develop and execute strategies, and the need to reshape the management structure at this time,"" Mr Tellier said in a statement on Monday.Earlier this month the firm said it earned $10m (???œ19.2m) in the third quarter, down from a profit of $133m a year ago.Under Mr Tellier's tenure at the company, which began in January 2003, plans to cut the worldwide workforce of 75,000 by almost a third by 2006 were announced.",business
39,"The US dollar has dropped against major currencies on concerns that central banks may cut the amount of dollars they hold in their foreign reserves.South Korea, which has about $200bn in foreign reserves, said it plans instead to boost holdings of currencies such as the Australian and Canadian dollar.At 1300 GMT, the euro was up 0.9% on the day at 1.3187 euros per US dollar.On Tuesday, traders in Asia said that both South Korea and Taiwan had withdrawn their bids to buy dollars at the start of the session.A report last month already showed that the dollar was losing its allure as a currency that offered rock-steady returns and stability.Compiled by Central Banking Publications and sponsored by the UK's Royal Bank of Scotland, the survey found 39 nations out of 65 questioned were increasing their euro holdings, with 29 cutting back on the US dollar.",business
40,"Irish publishing group Independent News & Media is buying up a 26% stake in Indian newspaper company Jagran in a deal worth 25m euros ($34.1m).Meanwhile, the group made no comment about the future of the Independent newspaper despite recent speculation that Sir Anthony had held talks with potential buyers over a stake in the daily publication.""2004 has proven to be an important year for Independent News & Media,"" said chief executive Sir Anthony O'Reilly.Group advertising revenues were up over 10% year-on-year, the group said, with overall circulation revenues are expected to increase almost 10% year-on-year.He has consistently denied suggestions that the Independent and the Independent on Sunday are up for sale.Buy it is understood that the recent success of the smaller edition of the Independent, which has pushed circulation up by 20% to 260,000, has prompted interest from industry rivals, with Daily Mail & General Trust tipped as the most likely suitor.",business
41,"If Qantas were to follow the lead of other airlines moving staff 'offshore' 7,000 jobs could shift overseas, the newspaper reported.In a statement, Qantas said it was looking to build its operations overseas.Unions criticised the possible move - which may affect cabin and maintenance staff - saying Qantas was profitable.Qantas confirmed it was looking at whether it might recruit and source products overseas - potentially through joint ventures - but said it would continue to create jobs in Australia.Australian airline Qantas could transfer as many as 7,000 jobs out of its home country as it seeks to save costs, according to newspaper reports.Unions reacted angrily to the reported disclosure, arguing that Qantas was profitable and did not need to take such action.""We're going to have to get the lowest cost structure we can and that willmean sourcing things more and more from overseas,"" the newspaper quoted Qantas chief executive Geoff Dixon as saying.",business
42,"""None of the 10 former directors was a direct participant in the accounting machinations of the WorldCom fraud,"" said the Wall Street Journal (WSJ).Ten former directors at WorldCom have agreed to pay $54m (???œ28.85m), including $18m from their own pockets, to settle a class action lawsuit, reports say.Corporate governance experts said that if the directors do dip into their own pockets for the settlement, it will set a new standard for the accountability of bosses, when the firms they oversee face problems.""Directors very rarely pay,"" said Charles Elson, chairman of the Center for Corporate Governance at the University of Delaware.Two other outside former directors, Bert Roberts and Francesco Galesi, remain defendants in the lawsuit, said the newspaper.It has not yet been determined how much each director will have to pay.But, a spokesman for the prosecutor, New York State Comptroller Alan Hevesi, said no formal agreement had been made.",business
43,"Russian oil and gas company Yukos is due in a US court on Thursday as it continues to fight for its survival.Deutsche Bank, which is also an advisor to Gazprom, has called on the US court to overturn its decision to provide Yukos with bankruptcy protection.Russian President Vladimir Putin and the country's legal authorities have repeatedly said that the US has no jurisdiction over Yukos and its legal wranglings.Yukos lawyers now say the auction violated US bankruptcy law.Yukos has won small victories, however, and is bullish about its chances in court.Yukos filed for bankruptcy in the US, hoping to use international business law to halt the forced sale of its key oil production unit, Yuganskneftegas.Analysts are not optimistic about Yukos' chances in court.The German lender is one of six banks that were barred from providing financing to Gazprom, the Russian state-owned company that was expected to win the auction for Yuganskneftegas.",business
44,"Regular annual bonus rates on former Axa Equity & Law with-profits policies are to be cut from 2% to 1% for 2004.Axa blamed a poor stock market performance for the cut, adding that recent gains have not yet offset the market falls seen in 2001 and 2002.Axa cut payouts for the same investors last January.""The stock market has grown over the past 18 months, however not enough to undo the damage that occurred during 2001 and 2002,"" Axa spokesman Mark Hamilton, Axa spokesman, told BBC News.Life insurer Axa Sun Life has lowered annual bonus payouts for up to 50,000 with-profits investors.",business
45,"The sale of the US gaming unit will leave Wembley with its UK business.Wembley announced the planned sale as it revealed it was to offload its US gaming division to BLB Investors.US gaming consortium BLB will pay $339m (???œ182.5m) for the US unit, although the deal is subject to certain conditions.Six UK greyhound tracks have been put up for sale by gaming group Wembley as part of a move which will lead to the break-up of the group.""Whilst the completion of the sale of the US Gaming Division remains subject to a number of conditions, we believe this development is a positive step towards the maximisation of value for shareholders,"" said Wembley chairman Claes Hultman.BLB's purchase of the US unit is subject to the agreement of a revenue-sharing deal being struck with Rhode Island authorities.",business
46,"While pinpointing several areas in which there are difficulties in the bilateral and multilateral work with Russia, the US said the meeting was ""much more efficient than we've seen for some time"".Mr Johannesson also said progress ""on the bilateral market access side is accelerating"".His comments came as President George W Bush said the US backed Russian entry.But he said for Russia to make progress the government must ""renew a commitment to democracy and the rule of law"".Talks on Russia's proposed membership of the World Trade Organisation (WTO) have been ""making good progress"" say those behind the negotiations.Some WTO members also dislike Russia's energy price subsidies, which competitors say give Russian businesses an unfair advantage.",business
47,"Jay-Z, real name Shawn Carter, said: ""I have inherited two of the most important brands in hip-hop, Def Jam and Roc-A-Fella.Rap star Jay-Z is to become a record company executive after being put in charge of one of hip-hop's most influential labels, Def Jam.Antonio ""LA"" Reid, chairman of The Island Def Jam Music Group, said: ""I can think of no-one more relevant and credible in the hip-hop community to build upon Def Jam's fantastic legacy.""Def Jam's parent company, Universal, made the appointment after buying Jay-Z's Roc-A-Fella label.Jay-Z, who said he would make no more music after 2003's The Black Album, will become the company's president and chief executive from January.Universal said on Wednesday it had bought the 50% of Roc-A-Fella it did not already own.",entertainment
48,"""I thought I should explain myself before I disappear,"" said Michael, who was at the Berlin film festival to launch the documentary.Singer George Michael has said that a new film about his life is the start of a retirement from public view.The film, A Different Story, chronicles Michael's life and career from the 1980s and his personal struggles.Michael said that the film, directed by Southan Morris, would put his two decades of fame into context.A Different Story, which is being shown at the Berlin Film Festival, has been screened by BBC One.""I'm still going to be making music,"" he said, but added that he was ""not going to be around"".",entertainment
49,"She made her first Carry On film in 1969 where she appeared in Carry On Again Doctor.She also appeared in Carry On at your Convenience, Carry On Matron and Carry On Loving, as well as others.Rowlands played the hard-done-by wife or the put-upon employee as a regular Carry On star.Actress Patsy Rowlands, known to millions for her roles in the Carry On films, has died at the age of 71.Agent Simon Beresford said: ""She was just an absolutely favourite client She never complained about anything, particularly when she was ill, she was an old trouper.Born in January 1934, Rowlands won a scholarship to the Guildhall School of Speech and Drama scholarship when she was just 15.Rowlands starred in nine of the popular Carry On films, alongside fellow regulars Sid James, Kenneth Williams and Barbara Windsor.",entertainment
50,"The last film to be made by the slain Dutch director Theo van Gogh, called 06/05, has been premiered in The Hague.Van Gogh's movie mixes real images of the day of Fortuyn's murder with a fictional plot about Dutch intelligence services conspiring to silence the politician.Earlier this year, Van Gogh made a film accusing Islam of promoting violence against women.Van Gogh was shot and stabbed to death in Amsterdam six weeks ago.Members of Van Gogh's family and celebrities attended the screening of 06/05, based on the murder of the anti-immigration politician Pim Fortuyn.The story unfolds through the eyes of a freelance photographer who unwittingly takes pictures revealing the involvement of Dutch authorities in Fortuyn's murder.",entertainment
